dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SWAY,BQIC_SWAY_0617142124_F100_I076,1125000.0,1125000.0,1.0,0.76,-11.483524,0.11375410155490405,2.2958713,0.033658921,0.021908743,0.023182848,0.28441605,0.73593273,0.066126301
FD_SWAY,BQIC_SWAY_0617142124_F100_I078,1125000.0,1125000.0,1.0,0.78,-11.785722,0.3444975908069524,3.8932149,0.048307061,0.022762694,0.023182848,0.27756412,0.64395393,0.014689612
FD_SWAY,BQIC_SWAY_0617142124_F100_I080,1125000.0,1125000.0,1.0,0.8,-12.08792,0.13115762684496124,2.632181,0.047218733,0.012446109,0.023182848,0.34505342,0.12131912,0.033236198
FD_SWAY,BQIC_SWAY_0617142124_F100_I082,1125000.0,1125000.0,1.0,0.82,-12.390118,0.7973044505809315,5.7892179,0.052411923,0.016350276,0.023182848,0.28786273,0.55232764,0.051310085
