candidate_id,num_dof_completed,period_pass_count,max_period_error_pct,all_six_period_under_limit,start_amplitude_pass_count,max_start_amplitude_error,all_six_start_amplitude_under_limit,j_total,j_shape_total,start_amplitude_error_total,score_total,rank,decision,reason
BQIC_HEAVE_0612055426_F100_I090,1,1,0.6995697,false,0,,false,0.045158841,0.31353698,0,0.045158841,42,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
BQIC_HEAVE_0703130239_F100_I050,1,1,0.81400322,false,1,0.090301326,false,0.023024119,0.22960038,0.090301326,0.04559945,43,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
BQIC_HEAVE_0704051950_F100_I050,1,1,0.81400322,false,1,0.090301326,false,0.023024119,0.22960038,0.090301326,0.04559945,44,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
SWAY_AF0_N15K_FULL_0706,1,1,1.0947203,false,1,0.030569362,false,0.038358002,0.7108893,0.030569362,0.046000342,45,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0703140207_F110_I100,1,0,4.2507113,false,1,0.023951184,false,0.040378993,0.83034663,0.023951184,0.046366789,46,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_TTDSS_P2_07040305,1,1,2.0797089,false,1,0.02454682,false,0.040485232,0.72087677,0.02454682,0.046621937,47,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_IC1230_0704215651,1,1,2.7890745,false,1,0.0081999219,false,0.045166176,0.84194649,0.0081999219,0.047216156,48,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_TTDSS_N18_07040812,1,1,2.731372,false,1,0.013759191,false,0.044387334,0.99648928,0.013759191,0.047827132,49,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_TTDSS_N2_07040305,1,1,2.4795794,false,1,0.01594319,false,0.044253822,0.93028707,0.01594319,0.048239619,50,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_AF0_N50K_IC1260_FULL_0706,1,0,5.0452819,false,1,0.015757881,false,0.044874358,0.875661,0.015757881,0.048813828,51,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_CLN8K_0704210327,1,1,2.1288343,false,1,0.030370816,false,0.041266163,0.89423138,0.030370816,0.048858867,52,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_CL0_BL300_0704205458,1,0,4.5706128,false,1,0.042548263,false,0.038568367,0.67277637,0.042548263,0.049205433,53,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0612142322_F100_I080,1,1,2.632181,false,1,0.008464649,false,0.047218733,0.93776528,0.008464649,0.049334895,54,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0617142124_F100_I080,1,1,2.632181,false,1,0.008464649,false,0.047218733,0.93776528,0.008464649,0.049334895,55,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ075_T600_0706,1,0,3.1520915,false,1,0.093748311,false,0.026061005,0.61280654,0.093748311,0.049498083,56,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_HEAVE_0704051950_F100_I052,1,1,0.8025736,false,1,0.11021275,false,0.02303855,0.22822815,0.11021275,0.050591737,57,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
BQIC_SURGE_0611155919_F100_I102,1,1,0.65078407,false,0,,false,0.050632098,0.95288635,0,0.050632098,58,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N250K_IC2124_FULL_0705,1,0,12.532012,false,1,0.047709484,false,0.039256589,0.96810396,0.047709484,0.05118396,59,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SWAY_0704041752_F105_I100,1,0,4.4939201,false,1,0.025804274,false,0.044999822,0.96899248,0.025804274,0.05145089,60,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SURGE_0704064505_F102_I074,1,1,2.0547125,false,1,0.099778789,false,0.026511633,0.55806083,0.099778789,0.05145633,61,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N250K_IC185_T600_0706,1,0,3.7887162,false,1,0.091120745,false,0.028745492,0.42932296,0.091120745,0.051525678,62,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SWAY_0704075513_F100_I084,1,0,5.1613972,false,1,0.040046592,false,0.041706361,0.71453638,0.040046592,0.051718009,63,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SURGE_0704053144_F100_I074,1,1,0.4589769,false,1,0.10111411,false,0.026562794,0.52067182,0.10111411,0.051841321,64,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ078_T600_0706,1,0,3.4760998,false,1,0.11472576,false,0.023434935,0.41636558,0.11472576,0.052116375,65,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0612122849_F100_I090,1,0,7.3955124,false,0,,false,0.052620023,0.83992471,0,0.052620023,66,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704065321_F102_I074,1,1,0.79980286,false,1,0.10731689,false,0.02585608,0.54101275,0.10731689,0.052685303,67,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0611142500_F100,1,1,1.2045701,false,0,,false,0.052759261,1.0788324,0,0.052759261,68,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SWAY_0617142124_F100_I082,1,0,5.7892179,false,1,0.0019258896,false,0.052411923,1.2006293,0.0019258896,0.052893395,69,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SWAY_TTDSS_N3_07040323,1,0,3.7700164,false,1,0.016274098,false,0.049237421,1.089789,0.016274098,0.053305946,70,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0703142147_F103_I100,1,0,5.4839227,false,1,0.03235627,false,0.045287866,0.88553591,0.03235627,0.053376934,71,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
