dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_ROLL,BQIC_ROLL_0617162123_F096_I100,90000000000.0,86850000000.0,0.965,1.0,16.89065606,0.27062312030202285,1.694227,0.04483199,0.025761193,0.02049542,0.20277012,0.038351677,0.24616118
FD_ROLL,BQIC_ROLL_0617162123_F097_I100,90000000000.0,87300000000.0,0.97,1.0,16.89065606,0.27190861132815886,2.013454,0.044702634,0.026354119,0.02049542,0.20685223,0.0098840853,0.2463692
FD_ROLL,BQIC_ROLL_0617162123_F098_I100,90000000000.0,87750000000.0,0.975,1.0,16.89065606,0.267598117436182,1.9757234,0.045192859,0.026073186,0.02049542,0.20558694,0.082713941,0.24288107
