decision_id,dof,parent_candidate_id,status,fix_path,selected_candidate_id,R,K_ratio,clin,bquad,bmult,moor_json,conv_json,fork_reason,notes,created_time
DEC_BQIC_HEAVE_0703130239,FD_HEAVE,AMP_SH_SY_R965_06171637,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_HEAVE_0703130239_F100_I050,,,,6600000.0,1.0,{},"{""period_error_pct"":0.81400322,""nrmse"":0.023024119,""zeta"":0.0030352721,""reference_zeta"":0.0063011469,""env_err"":0.36017676,""LER_err"":0.23388627,""fp_err"":0.12073268,""period_ok"":true,""env_ok"":true,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,reference_signed IC -4.14335 (scale 0.5); BQuad 6.6e+06 x 1; score 0.0768057,2026-07-03T13:18:28+00:00
DEC_BQIC_SWAY_0703140207,FD_SWAY,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SWAY_0703140207_F110_I100,,,,1237500.0,1.1,{},"{""period_error_pct"":4.2507113,""nrmse"":0.040378993,""zeta"":0.014336001,""reference_zeta"":0.023182848,""env_err"":0.31685679,""LER_err"":0.72940337,""fp_err"":0.018844034,""period_ok"":false,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,parent_signed IC -12.0879 (scale 1); BQuad 1.125e+06 x 1.1; score 0.449455,2026-07-03T14:21:38+00:00
DEC_BQIC_SWAY_0703142147,FD_SWAY,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SWAY_0703142147_F105_I100,,,,1181250.0,1.05,{},"{""period_error_pct"":2.8069098,""nrmse"":0.058153099,""zeta"":0.021047413,""reference_zeta"":0.023182848,""env_err"":0.29449114,""LER_err"":0.75107976,""fp_err"":0.014684229,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,parent_signed IC -12.0879 (scale 1); BQuad 1.125e+06 x 1.05; score 0.186823,2026-07-03T14:41:18+00:00
DEC_BQIC_SURGE_0703144129,FD_SURGE,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0703144129_F110_I100,,,,1100000.0,1.1,{},"{""period_error_pct"":7.0149573,""nrmse"":0.035495946,""zeta"":0.015659722,""reference_zeta"":0.020242479,""env_err"":0.32899103,""LER_err"":3.3275439,""fp_err"":0.15563859,""period_ok"":false,""env_ok"":true,""ler_ok"":false,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC -16.2508 (scale 1); BQuad 1e+06 x 1.1; score 1.64233,2026-07-03T15:00:33+00:00
DEC_BQIC_SURGE_0703150041,FD_SURGE,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0703150041_F090_I100,,,,900000.0,0.9,{},"{""period_error_pct"":2.9949062,""nrmse"":0.030612678,""zeta"":0.014163187,""reference_zeta"":0.020242479,""env_err"":0.3169882,""LER_err"":2.2028712,""fp_err"":0.13456175,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC -16.2508 (scale 1); BQuad 1e+06 x 0.9; score 0.448241,2026-07-03T15:19:21+00:00
DEC_BQIC_SWAY_0704014701,FD_SWAY,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SWAY_0704014701_F100_I076,,,,1125000.0,1.0,{},"{""period_error_pct"":2.2958713,""nrmse"":0.033658921,""zeta"":0.021908743,""reference_zeta"":0.023182848,""env_err"":0.28441605,""LER_err"":0.73593273,""fp_err"":0.066126301,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -11.4835 (scale 0.76); BQuad 1.125e+06 x 1; score 0.113198,2026-07-04T02:16:15+00:00
DEC_BQIC_SWAY_0704021626,FD_SWAY,AMP_SH_SY_R965_H058_07031325,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SWAY_0704021626_F098_I076,,,,1108125.0,0.985,{},"{""period_error_pct"":2.4418106,""nrmse"":0.0474176,""zeta"":0.02061747,""reference_zeta"":0.023182848,""env_err"":0.27723476,""LER_err"":0.65878327,""fp_err"":0.038757868,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -11.4835 (scale 0.76); BQuad 1.125e+06 x 0.985; score 0.138386,2026-07-04T02:45:54+00:00
DEC_BQIC_HEAVE_0704040637,FD_HEAVE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_HEAVE_0704040637_F100_I054,,,,6600000.0,1.0,{},"{""period_error_pct"":0.77118849,""nrmse"":0.02312193,""zeta"":0.0027998432,""reference_zeta"":0.0063011469,""env_err"":0.36460503,""LER_err"":0.17087403,""fp_err"":0.16373113,""period_ok"":true,""env_ok"":true,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,reference_signed IC -4.47482 (scale 0.54); BQuad 6.6e+06 x 1; score 0.133456,2026-07-04T04:17:37+00:00
DEC_BQIC_HEAVE_0704051950,FD_HEAVE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,CONVERGED,signed_ic_bquad,BQIC_HEAVE_0704051950_F100_I048,,,,6600000.0,1.0,{},"{""period_error_pct"":0.85379066,""nrmse"":0.023056409,""zeta"":0.0031729385,""reference_zeta"":0.0063011469,""env_err"":0.35859638,""LER_err"":0.28011839,""fp_err"":0.099117616,""period_ok"":true,""env_ok"":true,""ler_ok"":true,""fp_ok"":true}",,reference_signed IC -3.97762 (scale 0.48); BQuad 6.6e+06 x 1; score 0.0742757,2026-07-04T05:30:48+00:00
DEC_BQIC_SURGE_0704053144,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704053144_F100_I072,,,,1000000.0,1.0,{},"{""period_error_pct"":4.547424,""nrmse"":0.029481215,""zeta"":0.016211697,""reference_zeta"":0.020242479,""env_err"":0.31774545,""LER_err"":0.72135916,""fp_err"":0.12454694,""period_ok"":false,""env_ok"":true,""ler_ok"":false,""fp_ok"":false}",morphology-targets-not-all-closed,reference_signed IC -16.7151 (scale 0.72); BQuad 1e+06 x 1; score 0.48556,2026-07-04T05:55:50+00:00
