dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SWAY,BQIC_SWAY_0704014701_F095_I076,1125000.0,1068750.0,0.95,0.76,-11.483524,0.7226451255438062,5.5244711,0.048116847,0.014664862,0.023182848,0.3307437,0.14315578,0.014081815
FD_SWAY,BQIC_SWAY_0704014701_F100_I076,1125000.0,1125000.0,1.0,0.76,-11.483524,0.11319770535490406,2.2958713,0.033658921,0.021908743,0.023182848,0.28441605,0.73593273,0.066126301
FD_SWAY,BQIC_SWAY_0704014701_F105_I076,1125000.0,1181250.0,1.05,0.76,-11.483524,0.612996014659405,4.83145,0.043614691,0.014430549,0.023182848,0.35242988,0.8473878,0.040349686
