dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SWAY,BQIC_SWAY_0617133851_F100_I070,1125000.0,1125000.0,1.0,0.7,-7.118579999999999,0.6859944038317322,2.7586383,0.060184412,0.01872842,0.023182848,0.5418984,0.78869259,0.49079687
FD_SWAY,BQIC_SWAY_0617133851_F100_I075,1125000.0,1125000.0,1.0,0.75,-7.62705,0.6725066320488251,3.4070154,0.052339899,0.027825002,0.023182848,0.46794201,0.28876615,0.48348268
FD_SWAY,BQIC_SWAY_0617133851_F100_I078,1125000.0,1125000.0,1.0,0.78,-7.932132,0.9569032503964916,1.1175083,0.050419494,0.0225027,0.023182848,0.45015849,2.8767709,0.42518997
FD_SWAY,BQIC_SWAY_0617133851_F100_I082,1125000.0,1125000.0,1.0,0.82,-8.338908,0.7767576947641015,3.0764475,0.051997642,0.022963388,0.023182848,0.45703015,2.1604905,0.37039287
