dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_HEAVE,BQIC_HEAVE_0612134333_F200_I100,6600000.0,13200000.0,2.0,1.0,-8.183834704,1.045130444791682,0.62648997,0.067528398,0.0033086936,0.0063011469,0.64863739,0.83561842,0.71074507
FD_HEAVE,BQIC_HEAVE_0612134333_F400_I100,6600000.0,26400000.0,4.0,1.0,-8.183834704,1.2157721316970798,1.3541609,0.09704414,0.0041695663,0.0063011469,0.69302587,0.96923011,0.78084282
