dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SURGE,BQIC_SURGE_0704062039_F101_I074,1000000.0,1010000.0,1.01,0.74,-17.1793997,1.9071273674218383,3.6989536,0.036197513,0.014957411,0.020242479,0.29550097,8.6889862,0.11404555
FD_SURGE,BQIC_SURGE_0704062039_F102_I074,1000000.0,1020000.0,1.02,0.74,-17.1793997,0.21207931628759796,3.4260667,0.029907963,0.0097657707,0.020242479,0.30765155,0.40195186,0.12374664
FD_SURGE,BQIC_SURGE_0704062039_F103_I074,1000000.0,1030000.0,1.03,0.74,-17.1793997,0.7293911032329511,4.4749284,0.02778397,0.0096011763,0.020242479,0.28605209,1.9191284,0.11198572
