Time,Surge,Sway,Heave,Roll,Pitch,Yaw
0.0,-2.25679,-0.29394999999999993,-0.09820000000000007,-0.96346,0.6430400000000001,-17.8903
0.040000000000020464,-2.25869,-0.29263999999999996,-0.09939999999999993,-0.96068,0.64493,-17.8903
0.09000000000003183,-2.26149,-0.29135999999999995,-0.10060000000000002,-0.95732,0.64881,-17.8903
0.12999999999999545,-2.26419,-0.29006999999999994,-0.10179999999999989,-0.95395,0.65269,-17.8903
0.17000000000001592,-2.26679,-0.2882799999999999,-0.10289999999999999,-0.95042,0.6557900000000001,-17.8893
0.21000000000003638,-2.26949,-0.28648999999999997,-0.1039000000000001,-0.9468799999999999,0.65888,-17.8873
0.25,-2.27229,-0.28401999999999994,-0.1048,-0.94222,0.66269,-17.8853
0.30000000000001137,-2.27519,-0.28153999999999996,-0.1056999999999999,-0.93756,0.6665000000000001,-17.883300000000002
0.34000000000003183,-2.2778899999999997,-0.2787899999999999,-0.1068,-0.93243,0.66991,-17.8793
0.37999999999999545,-2.28059,-0.27603999999999995,-0.1080000000000001,-0.92729,0.6733100000000001,-17.8753
0.4200000000000159,-2.28329,-0.27454999999999996,-0.10909999999999997,-0.9232899999999999,0.67764,-17.8713
0.4600000000000364,-2.28599,-0.27305999999999997,-0.11020000000000008,-0.91929,0.6819700000000001,-17.8673
0.5,-2.28739,-0.27193999999999996,-0.11129999999999995,-0.91494,0.68583,-17.8623
0.5500000000000114,-2.28889,-0.27080999999999994,-0.11230000000000007,-0.91059,0.68969,-17.8583
0.5900000000000318,-2.28949,-0.27029,-0.11339999999999995,-0.90688,0.6933400000000001,-17.8523
0.6299999999999955,-2.29019,-0.26975999999999994,-0.11450000000000005,-0.90316,0.69699,-17.8463
0.6700000000000159,-2.29129,-0.26824,-0.11519999999999997,-0.89838,0.69996,-17.8393
0.7100000000000364,-2.29239,-0.26671999999999996,-0.11589999999999989,-0.8936,0.70293,-17.8323
0.7599999999999909,-2.29399,-0.26497999999999994,-0.11759999999999993,-0.88764,0.7076300000000001,-17.825300000000002
0.8000000000000114,-2.29559,-0.26324,-0.11919999999999997,-0.88168,0.71233,-17.8183
0.8400000000000318,-2.29679,-0.26152,-0.12030000000000007,-0.87508,0.71757,-17.8093
0.8799999999999955,-2.2980899999999997,-0.25978999999999997,-0.12149999999999994,-0.86848,0.7228,-17.8013
0.9200000000000159,-2.2999899999999998,-0.25744999999999996,-0.12270000000000003,-0.86149,0.7278300000000001,-17.7913
0.9600000000000364,-2.3018899999999998,-0.25509999999999994,-0.12400000000000011,-0.85449,0.7328600000000001,-17.7813
1.009999999999991,-2.3039899999999998,-0.25436,-0.12480000000000002,-0.84971,0.73858,-17.7713
1.0500000000000114,-2.30619,-0.25360999999999995,-0.12559999999999993,-0.84493,0.74429,-17.761300000000002
1.0900000000000318,-2.30659,-0.25292,-0.1262000000000001,-0.84027,0.7470800000000001,-17.7493
1.1299999999999955,-2.30699,-0.25222999999999995,-0.12680000000000002,-0.83561,0.74987,-17.7383
1.170000000000016,-2.30709,-0.25209999999999994,-0.1279999999999999,-0.82989,0.75465,-17.7253
1.2200000000000273,-2.30719,-0.25195999999999996,-0.12919999999999998,-0.82417,0.75943,-17.7123
1.259999999999991,-2.30729,-0.25157999999999997,-0.1302000000000001,-0.81845,0.7648,-17.700300000000002
1.3000000000000114,-2.30729,-0.25118999999999997,-0.1311,-0.81274,0.7701600000000001,-17.6873
1.3400000000000318,-2.30739,-0.24990999999999997,-0.1319999999999999,-0.8058799999999999,0.7747900000000001,-17.6723
1.3799999999999955,-2.30749,-0.24863999999999997,-0.13280000000000003,-0.7990200000000001,0.77942,-17.6583
1.420000000000016,-2.30829,-0.24722999999999995,-0.13280000000000003,-0.79071,0.7852600000000001,-17.6423
1.4700000000000273,-2.30899,-0.24582999999999994,-0.13270000000000004,-0.78241,0.7911,-17.6263
1.509999999999991,-2.31049,-0.24523999999999996,-0.1341000000000001,-0.77439,0.7970400000000001,-17.6103
1.5500000000000114,-2.3119899999999998,-0.24463999999999997,-0.13539999999999996,-0.7663800000000001,0.8029900000000001,-17.5953
1.5900000000000318,-2.31279,-0.24495999999999996,-0.1361000000000001,-0.76136,0.80839,-17.5783
1.6299999999999955,-2.31349,-0.24526999999999993,-0.13680000000000003,-0.75634,0.81379,-17.5603
1.6800000000000068,-2.31379,-0.24412999999999996,-0.13870000000000005,-0.74716,0.8184600000000001,-17.543300000000002
1.7200000000000273,-2.31399,-0.24298999999999993,-0.14050000000000007,-0.7379800000000001,0.82313,-17.5263
1.759999999999991,-2.3142899999999997,-0.24312999999999996,-0.1412,-0.73062,0.8286100000000001,-17.5063
1.8000000000000114,-2.31449,-0.24325999999999998,-0.14189999999999992,-0.72326,0.83409,-17.4863
1.8400000000000318,-2.31509,-0.24174999999999996,-0.1420999999999999,-0.71341,0.8397300000000001,-17.4663
1.8799999999999955,-2.31569,-0.24022999999999994,-0.1422000000000001,-0.70355,0.8453700000000001,-17.4463
1.9300000000000068,-2.31539,-0.23963999999999996,-0.14270000000000005,-0.69382,0.85036,-17.4243
1.9700000000000273,-2.31499,-0.23903999999999997,-0.1431,-0.68408,0.85535,-17.4033
2.009999999999991,-2.31489,-0.23952999999999997,-0.14349999999999996,-0.67748,0.86073,-17.3823
2.0500000000000114,-2.31469,-0.24000999999999995,-0.14389999999999992,-0.6708799999999999,0.8661000000000001,-17.3613
2.090000000000032,-2.31529,-0.23944999999999994,-0.14470000000000005,-0.66098,0.87072,-17.3383
2.140000000000043,-2.31579,-0.23889999999999995,-0.14559999999999995,-0.65108,0.87533,-17.316300000000002
2.180000000000007,-2.31579,-0.23792999999999997,-0.14490000000000003,-0.6415,0.8798100000000001,-17.2913
2.2200000000000273,-2.31579,-0.23695999999999995,-0.1443000000000001,-0.63192,0.88429,-17.2663
2.259999999999991,-2.31529,-0.23736999999999997,-0.1443000000000001,-0.6239399999999999,0.88944,-17.2413
2.3000000000000114,-2.31479,-0.23778999999999995,-0.1443000000000001,-0.61595,0.89458,-17.2163
2.340000000000032,-2.3142899999999997,-0.23851999999999995,-0.14440000000000008,-0.6080300000000001,0.8997900000000001,-17.191300000000002
2.390000000000043,-2.31389,-0.23924999999999996,-0.14450000000000007,-0.6001000000000001,0.905,-17.165300000000002
2.430000000000007,-2.31339,-0.23897999999999997,-0.14480000000000004,-0.5904,0.9092100000000001,-17.1403
2.4700000000000273,-2.31299,-0.23870999999999998,-0.1452,-0.5806899999999999,0.9134300000000001,-17.1153
2.509999999999991,-2.31129,-0.23778999999999995,-0.14480000000000004,-0.56904,0.91578,-17.0873
2.5500000000000114,-2.30969,-0.23687999999999998,-0.1443000000000001,-0.5574,0.91813,-17.0593
2.6000000000000227,-2.31049,-0.23885999999999996,-0.14470000000000005,-0.5511699999999999,0.92506,-17.0313
2.640000000000043,-2.31139,-0.24083999999999994,-0.1452,-0.54493,0.93203,-17.0033
2.680000000000007,-2.31069,-0.24026999999999993,-0.1451,-0.5342,0.93633,-16.9743
2.7200000000000273,-2.3100899999999998,-0.23969999999999997,-0.14500000000000002,-0.52346,0.94073,-16.9453
2.759999999999991,-2.31019,-0.23861999999999994,-0.1452,-0.51268,0.9432300000000001,-16.915300000000002
