Time,Surge,Sway,Heave,Roll,Pitch,Yaw
0.0,-0.4889,-15.02749,0.22360000000000002,2.16031,-0.515534,-1.0729
0.040000000000020464,-0.49083,-15.02749,0.22219999999999995,2.16271,-0.518043,-1.0727999999999998
0.07999999999998408,-0.49276,-15.02749,0.22089999999999987,2.16511,-0.520552,-1.0727999999999998
0.12999999999999545,-0.4998,-15.02749,0.21909999999999985,2.16731,-0.522733,-1.0735
0.17000000000001592,-0.50684,-15.02649,0.21729999999999983,2.1695100000000003,-0.524913,-1.0742
0.20999999999997954,-0.50877,-15.02549,0.21699999999999986,2.17451,-0.526974,-1.0742
0.25,-0.5107,-15.02449,0.2166999999999999,2.1796100000000003,-0.529035,-1.0742
0.29000000000002046,-0.51214,-15.02449,0.21529999999999982,2.17971,-0.52956,-1.0748
0.3299999999999841,-0.51358,-15.02449,0.2138,2.1798100000000002,-0.530085,-1.0754
0.37999999999999545,-0.51486,-15.02349,0.2124999999999999,2.18271,-0.533057,-1.0748999999999997
0.4200000000000159,-0.51614,-15.02249,0.21119999999999983,2.18561,-0.53603,-1.0742999999999998
0.45999999999997954,-0.51744,-15.02149,0.21039999999999992,2.18841,-0.5366380000000001,-1.0744999999999998
0.5,-0.51874,-15.01949,0.2096,2.19121,-0.537245,-1.0746999999999998
0.5400000000000205,-0.52015,-15.01849,0.2077,2.19221,-0.538924,-1.0746
0.5900000000000318,-0.52156,-15.01749,0.2057,2.19311,-0.540604,-1.0744
0.6299999999999955,-0.52326,-15.01649,0.20399999999999996,2.19341,-0.5406110000000001,-1.0746
0.6700000000000159,-0.52496,-15.01549,0.2023999999999999,2.1937100000000003,-0.540618,-1.0748999999999997
0.7099999999999795,-0.52579,-15.013490000000001,0.20019999999999993,2.19481,-0.54318,-1.0754
0.75,-0.52661,-15.01249,0.19799999999999995,2.1958100000000003,-0.545743,-1.0759
0.7900000000000205,-0.52828,-15.00949,0.19619999999999993,2.19681,-0.546502,-1.0761999999999998
0.8400000000000318,-0.52994,-15.00749,0.1944999999999999,2.1977100000000003,-0.547261,-1.0765
