dof,out_file,unit,model_eq,ref_eq,eq_delta,model_decay_start_time_raw,ref_decay_start_time_raw,decay_start_time_shift,model_decay_start,ref_decay_start,start_abs_ratio,model_raw_start,ref_raw_start,first_peak_abs_ratio,first_peak_dt,mean_peak_abs_ratio_1_3,mean_abs_dt_1_5,energy_quarter_ref,energy_quarter_model,top_leaks
FD_SURGE,04_current_runs\runs\RUN_0001_FD_SURGE_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_surge_9d3daf69.out,m,2.892,-0.136105,3.028105,0.2,0.25,-0.04999999999999999,-19.142,-23.215405,0.8245387060876173,-16.25,-23.35351,0.8242499753892536,0.020000000000015894,1.0469167560187564,30.07199999999998,"[1.0,0.04628404605879527,0.010464431664839399,0.003996590626692693]","[1.0,0.028391904269278165,0.005975229615075032,0.014852368711191827]","[[""Sway"",0.24887989402257485],[""Roll"",0.18951827006147925],[""Heave"",0.1567269156785698]]"
FD_SWAY,04_current_runs\runs\RUN_0001_FD_SWAY_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_sway_ac064de6.out,m,2.769,0.08540999999999999,2.68359,0.2,0.25,-0.04999999999999999,-14.869,-15.1099,0.9840568104355423,-12.09,-15.02749,0.9966313476594815,0.820000000000016,1.4166589910174474,22.517999999999994,"[1.0,0.07156207379202753,0.020459982928428863,0.007484741167852371]","[1.0,0.04218063683112672,0.019626333252557096,0.00824320529667704]","[[""Yaw"",0.4087523755462862],[""Surge"",0.3057201275836692],[""Roll"",0.2387807118067128]]"
FD_HEAVE,04_current_runs\runs\RUN_0002_FD_HEAVE_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_heave_adcda246.out,m,4.544,0.0044999999999999485,4.539499999999999,0.2,0.25,-0.04999999999999999,-9.001,-8.286700000000002,1.0861983660564516,-4.475,-8.2962,1.0851045832980897,0.01999999999995905,0.7902186856685774,0.45399999999996554,"[1.0,0.01906631150656196,0.005368303767421463,0.0020039300025677382]","[1.0,0.02106381423010141,0.007475736561621981,0.0036560719968770083]","[[""Roll"",0.8800282503026133],[""Pitch"",0.46144151735615],[""Sway"",0.4298704030927173]]"
FD_ROLL,04_current_runs\runs\RUN_0001_FD_ROLL_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_roll_38d48f80.out,deg,2.565,0.008500000000000008,2.5564999999999998,0.2,0.25,-0.04999999999999999,14.264999999999999,11.95968,1.1927576657569432,16.89,11.97218,1.18646534534213,0.01999999999995905,1.2168084560319243,11.163999999999998,"[1.0,0.05207422092186064,0.007681059731073641,0.0014126768381752318]","[1.0,0.0695129928118171,0.019162891155432682,0.005712976708602027]","[[""Sway"",0.46942437968411854],[""Surge"",0.2777032104131175],[""Heave"",0.24580365053434305]]"
FD_PITCH,04_current_runs\runs\RUN_0001_FD_PITCH_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_pitch_e18abe27.out,deg,0.8587,0.008934999999999915,0.8497650000000001,0.2,0.25,-0.04999999999999999,-10.4907,-9.031149999999998,1.161612862149339,-9.679,-9.028615,1.1562397859410232,0.009999999999968145,1.0962501179898483,0.4200000000000018,"[1.0,0.14383903303704684,0.04079882896548281,0.013148705604688735]","[1.0,0.12147102477653615,0.05183439094303145,0.019026251724699968]","[[""Surge"",0.46336479581854095],[""Roll"",0.34124397882879426],[""Heave"",0.2849426010003921]]"
FD_YAW,04_current_runs\runs\RUN_0001_FD_YAW_AMP_SH_HAF15_Y15052_R8715_07041136\input\qg_r001_center_yaw_fe6ed2b1.out,deg,-0.5468,0.13480000000000003,-0.6816,0.2,0.25,-0.04999999999999999,-14.503200000000001,-18.0201,0.8048346013618127,-15.05,-17.8903,0.8045475488645006,0.009999999999968145,0.8434256034477666,0.7739999999999623,"[1.0,0.06961501905117892,0.022775764677072385,0.010254662707638371]","[1.0,0.07799823421018436,0.04071769711294512,0.016910591599826393]","[[""Surge"",0.4539930227576798],[""Roll"",0.2669873885688345],[""Heave"",0.21016781255470618]]"
