dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SWAY,BQIC_SWAY_0703140207_F110_I100,1125000.0,1237500.0,1.1,1.0,-12.08792,0.4494546004928443,4.2507113,0.040378993,0.014336001,0.023182848,0.31685679,0.72940337,0.018844034
FD_SWAY,BQIC_SWAY_0703140207_F120_I100,1125000.0,1350000.0,1.2,1.0,-12.08792,0.8933800365476711,6.0256583,0.051508215,0.019013334,0.023182848,0.30051087,0.81674074,0.026477998
