dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SURGE,BQIC_SURGE_0612134700_F100_I100,1000000.0,1000000.0,1.0,1.0,-23.215405,1.6600734916786712,8.4651839,0.079478437,0.0062802682,0.020242479,0.33056973,0.3864387,0.26013097
FD_SWAY,BQIC_SWAY_0612134700_F100_I100,1125000.0,1125000.0,1.0,1.0,-15.1099,0.5035127101741205,1.1695586,0.056636981,0.013550301,0.023182848,0.35133246,0.7202222,0.37399742
FD_HEAVE,BQIC_HEAVE_0612134700_F100_I100,6600000.0,6600000.0,1.0,1.0,-8.286700000000002,0.8414192097292816,0.69472378,0.039048841,0.001496328,0.0063011469,0.52849573,0.37070269,0.66372859
