dof,candidate_id,bquad_base,bquad,bmult,ic_scale,signed_ic,score,period_error_pct,nrmse,zeta,reference_zeta,envelope_error,ler_error,fp_error
FD_SURGE,BQIC_SURGE_0704055611_F105_I074,1000000.0,1050000.0,1.05,0.74,-17.1793997,1.203418880431082,7.664736,0.029763991,0.011484493,0.020242479,0.2924797,0.56242878,0.12453932
FD_SURGE,BQIC_SURGE_0704055611_F110_I074,1000000.0,1100000.0,1.1,0.74,-17.1793997,2.3482870110441456,12.015624,0.032718051,0.0097808994,0.020242479,0.31463335,1.1666418,0.092167026
FD_SURGE,BQIC_SURGE_0704055611_F120_I074,1000000.0,1200000.0,1.2,0.74,-17.1793997,1.5843899417993605,7.2881615,0.035572848,0.010259957,0.020242479,0.35188478,2.8621308,0.062155281
