run_id,candidate_id,dof,input_dir,output_dir,fst_file,status,pid,start_time,end_time,elapsed_sec,timeout_sec,return_code,stdout_path,stderr_path,input_sha256,output_sha256,notes
RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000,PHYS_PITCH_BASE_63319Z0000,FD_PITCH,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000/input,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000/output,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,DRY_RUN,,2026-06-11T06:33:19+00:00,2026-06-11T06:33:19+00:00,0.001,900,,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000/logs/stderr.txt,f99b47d44bae73ca19d525799b24d70064403cc344e4ae4a5e167980b3b9aae4,,TMax=520; ElastoDyn initial_conditions
RUN_0001_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/input,04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/output,04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,SUCCESS,349156,2026-06-11T06:33:39+00:00,2026-06-11T06:38:15+00:00,276.375,900,0,04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/logs/stderr.txt,10c4fc21e3b539e7623cfd4b5e44002772e89bc7bfeda857aa88ac5f1f3f135c,,
RUN_0002_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/input,04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/output,04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,SUCCESS,430928,2026-06-11T06:38:34+00:00,2026-06-11T06:43:00+00:00,266.132,900,0,04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/logs/stdout.txt,04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/logs/stderr.txt,61d100bf184d1fe1a33d3bc84b6cce57cecae00df9e8e4418339bdd4ca383a80,,
RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000,PHYS_PITCH_BASE_64324Z0000,FD_PITCH,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/input,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/output,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,SUCCESS,167960,2026-06-11T06:43:25+00:00,2026-06-11T06:47:15+00:00,230.103,900,0,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/logs/stderr.txt,8b64c8088dcff2bca74ef42c54e094727d9033d6f2268ca98b3f8996fedd3995,,TMax=520; ElastoDyn initial_conditions
RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000,PHYS_SURGE_BASE_70258Z0000,FD_SURGE,04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/input,04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/output,04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,SUCCESS,215588,2026-06-11T07:02:58+00:00,2026-06-11T07:08:54+00:00,355.203,900,0,04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/logs/stderr.txt,c578e3032287f0e577c1b5bb7de809c059295367b3ce4197644ffcd62f0b9e8a,,TMax=900; ElastoDyn initial_conditions
RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE,RBQ90_PBL255_FD_SURGE,FD_SURGE,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE/input,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE/output,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,FAILED,487616,2026-06-11T07:17:45+00:00,2026-06-11T07:18:54+00:00,69.088,900,1,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE/logs/stdout.txt,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE/logs/stderr.txt,297808b4a0b7ccc79a40985baa82bd451d7136f843331c1422351c6ff4e7cdb7,,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=14
RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC,RBQ90_PBL255_FD_SURGE_QGIC,FD_SURGE,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC/input,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC/output,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.fst,FAILED,474004,2026-06-11T07:20:37+00:00,2026-06-11T07:21:55+00:00,77.080,900,1,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC/logs/stderr.txt,e1d8e5388c42645759dc537caa601ac39365faa56b6e1012091ba7d3604bf33e,,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=14
RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_surge_9d3daf69.fst,DRY_RUN,,2026-06-11T07:50:09+00:00,2026-06-11T07:50:09+00:00,0.001,900,,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,d51045ceaeaf9431d8fa8bfd3726a24a73f37970de7d7ae440eb506bf7f0d93b,,
RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_surge_9d3daf69.fst,SUCCESS,107656,2026-06-11T07:50:24+00:00,2026-06-11T08:02:01+00:00,697.573,900,0,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,64398dec4a5aa0cb2358591aa660a2ac62cc286d9326f681ed7b4d7ee95a543c,,
RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SWAY,04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_sway_ac064de6.fst,SUCCESS,370300,2026-06-11T08:02:02+00:00,2026-06-11T08:13:06+00:00,664.268,900,0,04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,849fd3a97c69750be98b5a53d0dd02691c728fc1e55b296a9a3ca02d5fee9ad9,,
RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_HEAVE,04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_heave_adcda246.fst,SUCCESS,304436,2026-06-11T08:13:07+00:00,2026-06-11T08:24:52+00:00,704.287,900,0,04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,fcf446c2c8fb9b0933b6604fd542815e3889c6583dcd89d743c7cc17658cb99a,,
RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_ROLL,04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_roll_38d48f80.fst,SUCCESS,251844,2026-06-11T08:24:53+00:00,2026-06-11T08:35:41+00:00,648.263,900,0,04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,f2f84c61c0ec3c2c3ba55e3a29e92877d5a021430b6ecc2d58e0ecd2856a1c22,,
RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_PITCH,04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_pitch_e18abe27.fst,SUCCESS,217356,2026-06-11T08:35:42+00:00,2026-06-11T08:47:02+00:00,680.275,900,0,04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,b5f27d3b3dd1900dba286fb2d80d6e230c4d6841969e2b9d40b9201a54407da4,,
RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_YAW,04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/input,04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/output,04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_yaw_fe6ed2b1.fst,SUCCESS,437544,2026-06-11T08:47:03+00:00,2026-06-11T08:58:17+00:00,674.274,900,0,04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/logs/stderr.txt,074b67b248f25437edb45b226a56eb533fcb9204b25d572319312c428cde8300,,
RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1,IMP_SURGE_00128Z0000_P1,FD_SURGE,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/input,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/output,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/input/qg_r001_center_surge_9d3daf69.fst,SUCCESS,235808,2026-06-11T10:01:29+00:00,2026-06-11T10:11:45+00:00,616.383,900,0,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/logs/stderr.txt,99733fa5db47f0e51a33733a07ff3385bec6395db5e47b65b5896d3eef5a4306,,HydroDyn edits=1
RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1,IMP_SURGE_00128Z0000_S1,FD_SURGE,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/input,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/output,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/input/qg_r001_center_surge_9d3daf69.fst,SUCCESS,253156,2026-06-11T10:11:46+00:00,2026-06-11T10:22:58+00:00,672.279,900,0,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/logs/stderr.txt,3a117afa72bc12b224b85f23c56245ec8dbf925e77d5b29698c003299f7372bb,,HydroDyn edits=1
RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1,IMP_HEAVE_02259Z0000_P1,FD_HEAVE,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/input,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/output,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/input/qg_r001_center_heave_adcda246.fst,SUCCESS,197132,2026-06-11T10:22:59+00:00,2026-06-11T10:33:04+00:00,605.241,900,0,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/logs/stderr.txt,b0fe8b8fe8e9b1da8958cec2739cbeec4fca7fc14545c0f3d671a50beabe0f92,,HydroDyn edits=1
RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1,IMP_HEAVE_02259Z0000_S1,FD_HEAVE,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/input,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/output,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/input/qg_r001_center_heave_adcda246.fst,SUCCESS,57528,2026-06-11T10:33:05+00:00,2026-06-11T10:43:22+00:00,617.246,900,0,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/logs/stderr.txt,b776552a6a65c93bab4cac659a494e81ea98866e9f82034c25031e686806ad69,,HydroDyn edits=1
RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1,IMP_PITCH_04323Z0000_P1,FD_PITCH,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/input,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/output,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/input/qg_r001_center_pitch_e18abe27.fst,SUCCESS,450956,2026-06-11T10:43:23+00:00,2026-06-11T10:54:12+00:00,649.268,900,0,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/logs/stderr.txt,495d9d622bc76d087304b7f1c08dc93569e7b69a0b478eeb6bb62111c2d5348e,,HydroDyn edits=1
RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1,IMP_PITCH_04323Z0000_S1,FD_PITCH,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/input,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/output,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/input/qg_r001_center_pitch_e18abe27.fst,SUCCESS,114596,2026-06-11T10:54:13+00:00,2026-06-11T11:05:05+00:00,651.254,900,0,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/logs/stdout.txt,04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/logs/stderr.txt,a5d6e0a27b8ec800e8518b3260ef02451137695a36d317368cf7a2e9fe02e584,,HydroDyn edits=1
