run_id,candidate_id,dof,reference_kind,old_heave_reference_used,period,reference_period,period_error_pct,zeta,reference_zeta,nrmse,j_dof,j_shape,amplitude_error,start_amplitude_error,start_amplitude_abs_ratio,start_amplitude_signed_ratio,reference_decay_start,model_decay_start,reference_raw_start,model_raw_start,decay_start_time_shift,phase_error,envelope_error,ler_error,fp_error,leak_json,reference_leak_json,morph_json,metric_status,notes
RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1,IMP_SURGE_00128Z0000_P1,FD_SURGE,curated,false,70.646086,82.763612,14.641128,0.012440945,0.020242479,0.19305141,0.19305141,1.6786349,0.026449784,,,,,,,,,,0.38203545,18.864577,0.026449784,"{""Sway"":0.1106133489472432,""Heave"":0.1414494610039686,""Roll"":0.18554815428626986,""Pitch"":0.13774102333283011,""Yaw"":0.1744314922955998}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.19305140616317973,""J_shape"":1.678634906110408,""env_err"":0.3820354522168227,""fp_err"":0.02644978397107284,""LERD"":0.003995852928715648,""LERM"":0.07937592711506024,""LER_err"":18.864576732701057,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1/input/qg_r001_center_surge_9d3daf69.out
RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1,IMP_SURGE_00128Z0000_S1,FD_SURGE,curated,false,79.200909,82.763612,4.3046735,0.0089282529,0.020242479,0.18413535,0.18413535,1.6956215,0.15557437,,,,,,,,,,0.39521133,7.2951784,0.15557437,"{""Sway"":0.14488273148131023,""Heave"":0.15902924823755468,""Roll"":0.19864670859632316,""Pitch"":0.21536639991499476,""Yaw"":0.23776380318159274}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.18413534989063193,""J_shape"":1.695621542848237,""env_err"":0.39521132518998375,""fp_err"":0.15557436929399868,""LERD"":0.003995852928715648,""LERM"":0.03314631271458318,""LER_err"":7.29517835263199,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1/input/qg_r001_center_surge_9d3daf69.out
RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1,IMP_HEAVE_02259Z0000_P1,FD_HEAVE,curated,false,21.4,20.719426,3.2847163,0.0020919838,0.0063011469,0.11422457,0.11422457,1.761413,0.3792698,,,,,,,,,,0.47636714,1.8355183,0.3792698,"{""Surge"":1.2376189114821652,""Sway"":0.33927081972996853,""Roll"":1.3936642398409165,""Pitch"":0.8858773780471526,""Yaw"":0.4521327881434618}","{""Surge"":0.694133163574395,""Sway"":0.3830351608671329,""Roll"":0.23088104002761986,""Pitch"":0.08142292151490593,""Yaw"":0.09687871817782223}","{""J_wave"":0.11422457014282848,""J_shape"":1.7614129764560207,""env_err"":0.47636713751432813,""fp_err"":0.3792697976662558,""LERD"":0.002003839225521178,""LERM"":0.005681922758076091,""LER_err"":1.8355182819611098,""Tend"":481.07000000000005}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1/input/qg_r001_center_heave_adcda246.out
RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1,IMP_HEAVE_02259Z0000_S1,FD_HEAVE,curated,false,20.85,20.719426,0.63020258,0.0016759794,0.0063011469,0.11535044,0.11535044,1.8830068,0.35021752,,,,,,,,,,0.46788348,1.7385127,0.35021752,"{""Surge"":1.3630696626267842,""Sway"":0.38463057346429425,""Roll"":1.3648028905773841,""Pitch"":0.841755975655292,""Yaw"":0.8130374132757964}","{""Surge"":0.694133163574395,""Sway"":0.3830351608671329,""Roll"":0.23088104002761986,""Pitch"":0.08142292151490593,""Yaw"":0.09687871817782223}","{""J_wave"":0.11535043787582423,""J_shape"":1.8830068168652994,""env_err"":0.46788347993555895,""fp_err"":0.3502175173814466,""LERD"":0.002003839225521178,""LERM"":0.0054875392333978605,""LER_err"":1.7385127327121805,""Tend"":481.07000000000005}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1/input/qg_r001_center_heave_adcda246.out
RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1,IMP_PITCH_04323Z0000_P1,FD_PITCH,curated,false,31.079751,30.598882,1.5715242,0.015498798,0.025569995,0.22652275,0.22652275,1.8375376,0.024092768,,,,,,,,,,0.16336823,0.18800492,0.024092768,"{""Surge"":0.3683888906180962,""Sway"":0.21406890982505747,""Heave"":0.32680729231758165,""Roll"":0.45696924517560655,""Yaw"":0.5091880453515873}","{""Surge"":0.3652553627158409,""Sway"":0.11511580438120428,""Heave"":0.09709203619753709,""Roll"":0.24451383619627762,""Yaw"":0.12733165013806358}","{""J_wave"":0.22652275158065094,""J_shape"":1.8375376307566638,""env_err"":0.1633682307962764,""fp_err"":0.024092767535722606,""LERD"":0.013125939777430977,""LERM"":0.015593681032476698,""LER_err"":0.18800491979163342,""Tend"":484.68}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1/input/qg_r001_center_pitch_e18abe27.out
RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1,IMP_PITCH_04323Z0000_S1,FD_PITCH,curated,false,30.64802,30.598882,0.16058556,0.015188978,0.025569995,0.22777381,0.22777381,2.0017654,0.020152113,,,,,,,,,,0.16538472,0.25105795,0.020152113,"{""Surge"":0.46775575138692366,""Sway"":0.2093178574881137,""Heave"":0.3265673174445931,""Roll"":0.45898883495409637,""Yaw"":0.40314073679113793}","{""Surge"":0.3652553627158409,""Sway"":0.11511580438120428,""Heave"":0.09709203619753709,""Roll"":0.24451383619627762,""Yaw"":0.12733165013806358}","{""J_wave"":0.22777380636931308,""J_shape"":2.0017653667465667,""env_err"":0.16538471858488032,""fp_err"":0.020152113097916268,""LERD"":0.013125939777430977,""LERM"":0.016421311315503086,""LER_err"":0.2510579504362988,""Tend"":484.68}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1/input/qg_r001_center_pitch_e18abe27.out
RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S3,IMP_SURGE_00128Z0000_S3,FD_SURGE,curated,false,59.97125,82.763612,27.53911,0.0058039427,0.020242479,0.17557638,0.17557638,1.3597535,0.19963512,,,,,,,,,,0.42545251,0.23789452,0.19963512,"{""Sway"":0.12230746880708158,""Heave"":0.17639776981003696,""Roll"":0.22094089835344258,""Pitch"":0.2121334464848967,""Yaw"":0.2693449740233841}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.1755763763079523,""J_shape"":1.3597535260486886,""env_err"":0.4254525098689809,""fp_err"":0.19963511847316734,""LERD"":0.003995852928715648,""LERM"":0.003045261432067759,""LER_err"":0.237894515540498,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S3/input/qg_r001_center_surge_9d3daf69.out
RUN_0003_FD_SURGE_IMP_SURGE_MEA0787_112112,IMP_SURGE_MEA0787_112112,FD_SURGE,curated,false,89.45,82.763612,8.0788977,0.0093186962,0.020242479,0.18404614,0.18404614,1.2995629,0.11771866,,,,,,,,,,0.35177077,0.087237264,0.11771866,"{""Sway"":0.10664945653018834,""Heave"":0.154266222835843,""Roll"":0.2088642087896793,""Pitch"":0.1563450220089661,""Yaw"":0.23687487904330368}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.18404613797569133,""J_shape"":1.2995628991438228,""env_err"":0.3517707653766924,""fp_err"":0.11771865531670098,""LERD"":0.003995852928715648,""LERM"":0.003647265652376956,""LER_err"":0.08723726387265593,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0003_FD_SURGE_IMP_SURGE_MEA0787_112112/input/qg_r001_center_surge_9d3daf69.out
RUN_0001_FD_SURGE_IMP_SURGE_MEA0865_113536,IMP_SURGE_MEA0865_113536,FD_SURGE,curated,false,78.277381,82.763612,5.4205361,0.0079432613,0.020242479,0.18754931,0.18754931,1.4482336,0.11023294,,,,,,,,,,0.35858488,0.31210314,0.11023294,"{""Sway"":0.0843915434894524,""Heave"":0.1533465499245437,""Roll"":0.2040455926442688,""Pitch"":0.17659700382349144,""Yaw"":0.23929888717776165}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.18754930823658164,""J_shape"":1.4482335580312786,""env_err"":0.35858487831201585,""fp_err"":0.11023293829349352,""LERD"":0.003995852928715648,""LERM"":0.005242971194514136,""LER_err"":0.31210314494716346,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_MEA0865_113536/input/qg_r001_center_surge_9d3daf69.out
RUN_0001_FD_SURGE_IMP_SURGE_MEA0834_114855,IMP_SURGE_MEA0834_114855,FD_SURGE,curated,false,84.42795,82.763612,2.0109537,0.013002845,0.020242479,0.18921015,0.18921015,1.5301796,0.096308528,,,,,,,,,,0.31014551,4.4769134,0.096308528,"{""Sway"":0.1138369012690234,""Heave"":0.1475818391331564,""Roll"":0.19983140081269177,""Pitch"":0.15832136115365786,""Yaw"":0.26434887557457726}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.1892101520447676,""J_shape"":1.5301795765424187,""env_err"":0.3101455077122938,""fp_err"":0.09630852803021599,""LERD"":0.003995852928715648,""LERM"":0.021884940481298736,""LER_err"":4.476913407904886,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_IMP_SURGE_MEA0834_114855/input/qg_r001_center_surge_9d3daf69.out
