role,candidate_id,run_id,out_path,period_error_pct,nrmse,j_shape,zeta,reference_zeta,envelope_error,ler_error,fp_error
previous_best,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125\input\qg_r001_center_sway_ac064de6.out,1.9047802,0.047958776,0.95272987,0.018136012,0.023182848,0.36327972,1.3027659,0.16746894
sway_ic_1.02,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RUN_0004_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0004_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400\input\qg_r001_center_sway_ac064de6.out,2.6066805,0.041654771,0.77661815,0.024371127,0.023182848,0.32304132,0.35183958,0.17945897
